Local time,Open,High,Low,Close,Volume
01.03.2012 11:00:00.000 GMT+1100,3.9340,3.9340,3.9340,3.9340,0
02.03.2012 11:00:00.000 GMT+1100,3.9340,3.9480,3.8890,3.9070,0
03.03.2012 11:00:00.000 GMT+1100,3.9070,3.9070,3.9070,3.9070,0
04.03.2012 11:00:00.000 GMT+1100,3.9007,3.9080,3.9007,3.9038,0.0046
05.03.2012 11:00:00.000 GMT+1100,3.9048,3.9309,3.8348,3.8727,0.2849
06.03.2012 11:00:00.000 GMT+1100,3.8719,3.8820,3.7297,3.7408,0.324
07.03.2012 11:00:00.000 GMT+1100,3.7419,3.7849,3.7128,3.7708,0.28
08.03.2012 11:00:00.000 GMT+1100,3.7719,3.8299,3.7640,3.7987,0.2749
09.03.2012 11:00:00.000 GMT+1100,3.7968,3.8760,3.7869,3.8480,0.2744
10.03.2012 11:00:00.000 GMT+1100,3.8480,3.8480,3.8480,3.8480,0
11.03.2012 11:00:00.000 GMT+1100,3.8397,3.8619,3.8388,3.8598,0.0061
12.03.2012 11:00:00.000 GMT+1100,3.8589,3.8610,3.8158,3.8477,0.2099
13.03.2012 11:00:00.000 GMT+1100,3.8469,3.9170,3.8417,3.9098,0.2532
14.03.2012 11:00:00.000 GMT+1100,3.9090,3.9109,3.8258,3.8359,0.2334
15.03.2012 11:00:00.000 GMT+1100,3.8369,3.9019,3.8247,3.8869,0.2489
16.03.2012 11:00:00.000 GMT+1100,3.8879,3.9390,3.8668,3.8759,0.2628
17.03.2012 11:00:00.000 GMT+1100,3.8759,3.8759,3.8759,3.8759,0
18.03.2012 11:00:00.000 GMT+1100,3.8837,3.8850,3.8728,3.8748,0.0049
19.03.2012 11:00:00.000 GMT+1100,3.8758,3.9180,3.8538,3.8998,0.2253
20.03.2012 11:00:00.000 GMT+1100,3.8990,3.9099,3.8128,3.8458,0.237
21.03.2012 11:00:00.000 GMT+1100,3.8468,3.8690,3.8268,3.8419,0.2224
22.03.2012 11:00:00.000 GMT+1100,3.8430,3.8559,3.7520,3.7838,0.2592
23.03.2012 11:00:00.000 GMT+1100,3.7848,3.8240,3.7608,3.8040,0.2458
24.03.2012 11:00:00.000 GMT+1100,3.8040,3.8040,3.8040,3.8040,0
25.03.2012 11:00:00.000 GMT+1100,3.8048,3.8180,3.8017,3.8099,0.0086
26.03.2012 11:00:00.000 GMT+1100,3.8120,3.8980,3.7939,3.8880,0.2196
27.03.2012 11:00:00.000 GMT+1100,3.8888,3.9029,3.8549,3.8668,0.2161
28.03.2012 11:00:00.000 GMT+1100,3.8659,3.8670,3.7819,3.8130,0.2567
29.03.2012 11:00:00.000 GMT+1100,3.8119,3.8169,3.7619,3.8109,0.2656
30.03.2012 11:00:00.000 GMT+1100,3.8088,3.8510,3.8047,3.8228,0.183
31.03.2012 11:00:00.000 GMT+1100,3.8228,3.8228,3.8228,3.8228,0
01.04.2012 10:00:00.000 GMT+1000,3.8513,3.8740,3.8513,3.8598,0.0063
02.04.2012 10:00:00.000 GMT+1000,3.8589,3.9309,3.8278,3.9148,0.217
03.04.2012 10:00:00.000 GMT+1000,3.9159,3.9548,3.8799,3.8827,0.2189
04.04.2012 10:00:00.000 GMT+1000,3.8859,3.8929,3.7878,3.8017,0.2253
05.04.2012 10:00:00.000 GMT+1000,3.8030,3.8259,3.7738,3.7899,0.2152
06.04.2012 10:00:00.000 GMT+1000,3.7899,3.7899,3.7899,3.7899,0
07.04.2012 10:00:00.000 GMT+1000,3.7899,3.7899,3.7899,3.7899,0
08.04.2012 10:00:00.000 GMT+1000,3.7768,3.7920,3.7668,3.7888,0.0124
09.04.2012 10:00:00.000 GMT+1000,3.7879,3.7980,3.7038,3.7248,0.1658
10.04.2012 10:00:00.000 GMT+1000,3.7260,3.7809,3.6439,3.6640,0.3154
11.04.2012 10:00:00.000 GMT+1000,3.6649,3.6700,3.6289,3.6460,0.2492
12.04.2012 10:00:00.000 GMT+1000,3.6449,3.7300,3.6439,3.7159,0.2453
13.04.2012 10:00:00.000 GMT+1000,3.7148,3.7208,3.6048,3.6180,0.2932
14.04.2012 10:00:00.000 GMT+1000,3.6180,3.6180,3.6180,3.6180,0
15.04.2012 10:00:00.000 GMT+1000,3.6197,3.6210,3.6038,3.6050,0.0098
16.04.2012 10:00:00.000 GMT+1000,3.6059,3.6380,3.5678,3.6219,0.2836
17.04.2012 10:00:00.000 GMT+1000,3.6209,3.6530,3.5838,3.6447,0.2363
18.04.2012 10:00:00.000 GMT+1000,3.6438,3.6738,3.6108,3.6259,0.246
19.04.2012 10:00:00.000 GMT+1000,3.6270,3.6538,3.5969,3.6290,0.2829
20.04.2012 10:00:00.000 GMT+1000,3.6280,3.7119,3.6238,3.6898,0.2277
21.04.2012 10:00:00.000 GMT+1000,3.6898,3.6898,3.6898,3.6898,0
22.04.2012 10:00:00.000 GMT+1000,3.6840,3.6909,3.6777,3.6908,0.006
23.04.2012 10:00:00.000 GMT+1000,3.6900,3.6910,3.6029,3.6269,0.272
24.04.2012 10:00:00.000 GMT+1000,3.6278,3.6870,3.6238,3.6810,0.2295
25.04.2012 10:00:00.000 GMT+1000,3.6819,3.7140,3.6599,3.7069,0.2574
26.04.2012 10:00:00.000 GMT+1000,3.7059,3.7840,3.6878,3.7639,0.2116
27.04.2012 10:00:00.000 GMT+1000,3.7650,3.8268,3.7479,3.8260,0.2247
28.04.2012 10:00:00.000 GMT+1000,3.8260,3.8260,3.8260,3.8260,0
29.04.2012 10:00:00.000 GMT+1000,3.8275,3.8429,3.8194,3.8428,0.0017
30.04.2012 10:00:00.000 GMT+1000,3.8363,3.8579,3.7985,3.8338,0.1226
01.05.2012 10:00:00.000 GMT+1000,3.8316,3.8539,3.7959,3.8316,0.1214
02.05.2012 10:00:00.000 GMT+1000,3.8296,3.8330,3.7658,3.7808,0.1799
03.05.2012 10:00:00.000 GMT+1000,3.7819,3.7890,3.7259,3.7349,0.179
04.05.2012 10:00:00.000 GMT+1000,3.7359,3.7538,3.7019,3.7158,0.2122
05.05.2012 10:00:00.000 GMT+1000,3.7158,3.7158,3.7158,3.7158,0
06.05.2012 10:00:00.000 GMT+1000,3.7079,3.7079,3.6658,3.6770,0.0201
07.05.2012 10:00:00.000 GMT+1000,3.6779,3.7768,3.6729,3.7559,0.1665
08.05.2012 10:00:00.000 GMT+1000,3.7539,3.7568,3.6549,3.6800,0.2082
09.05.2012 10:00:00.000 GMT+1000,3.6809,3.6940,3.6088,3.6598,0.3046
10.05.2012 10:00:00.000 GMT+1000,3.6610,3.7119,3.6428,3.6659,0.2442
11.05.2012 10:00:00.000 GMT+1000,3.6668,3.6819,3.6160,3.6289,0.2295
12.05.2012 10:00:00.000 GMT+1000,3.6289,3.6289,3.6289,3.6289,0
13.05.2012 10:00:00.000 GMT+1000,3.6499,3.6700,3.6420,3.6539,0.0213
14.05.2012 10:00:00.000 GMT+1000,3.6528,3.6729,3.5010,3.5279,0.2511
15.05.2012 10:00:00.000 GMT+1000,3.5288,3.5580,3.4858,3.5019,0.2438
16.05.2012 10:00:00.000 GMT+1000,3.5010,3.5140,3.4479,3.4829,0.2903
17.05.2012 10:00:00.000 GMT+1000,3.4839,3.5199,3.4528,3.4679,0.2928
18.05.2012 10:00:00.000 GMT+1000,3.4670,3.5148,3.4298,3.4347,0.277
19.05.2012 10:00:00.000 GMT+1000,3.4347,3.4347,3.4347,3.4347,0
20.05.2012 10:00:00.000 GMT+1000,3.4469,3.4590,3.4348,3.4590,0.0097
21.05.2012 10:00:00.000 GMT+1000,3.4578,3.5350,3.4578,3.5240,0.2428
22.05.2012 10:00:00.000 GMT+1000,3.5250,3.5279,3.4508,3.4679,0.2082
23.05.2012 10:00:00.000 GMT+1000,3.4708,3.4719,3.3848,3.4198,0.2844
24.05.2012 10:00:00.000 GMT+1000,3.4209,3.4498,3.4038,3.4339,0.269
25.05.2012 10:00:00.000 GMT+1000,3.4329,3.4660,3.4168,3.4478,0.2099
26.05.2012 10:00:00.000 GMT+1000,3.4478,3.4478,3.4478,3.4478,0
27.05.2012 10:00:00.000 GMT+1000,3.4579,3.4679,3.4489,3.4580,0.0151
28.05.2012 10:00:00.000 GMT+1000,3.4588,3.4960,3.4570,3.4709,0.116
29.05.2012 10:00:00.000 GMT+1000,3.4718,3.5079,3.4519,3.4628,0.2396
30.05.2012 10:00:00.000 GMT+1000,3.4639,3.4650,3.3600,3.3658,0.2719
31.05.2012 10:00:00.000 GMT+1000,3.3669,3.4040,3.3408,3.3619,0.2451
01.06.2012 10:00:00.000 GMT+1000,3.3608,3.3759,3.2988,3.3429,0.1978
02.06.2012 10:00:00.000 GMT+1000,3.3429,3.3429,3.3429,3.3429,0
03.06.2012 10:00:00.000 GMT+1000,3.3168,3.3300,3.2750,3.2880,0.0216
04.06.2012 10:00:00.000 GMT+1000,3.2869,3.3520,3.2367,3.3329,0.2805
05.06.2012 10:00:00.000 GMT+1000,3.3340,3.3500,3.2770,3.3060,0.2319
06.06.2012 10:00:00.000 GMT+1000,3.3080,3.3810,3.3049,3.3719,0.2525
07.06.2012 10:00:00.000 GMT+1000,3.3729,3.4299,3.3288,3.3638,0.2859
08.06.2012 10:00:00.000 GMT+1000,3.3650,3.3668,3.2629,3.3150,0.2906
09.06.2012 10:00:00.000 GMT+1000,3.3150,3.3150,3.3150,3.3150,0
10.06.2012 10:00:00.000 GMT+1000,3.3850,3.3989,3.3616,3.3670,0.0235
11.06.2012 10:00:00.000 GMT+1000,3.3659,3.3880,3.3018,3.3150,0.2372
12.06.2012 10:00:00.000 GMT+1000,3.3160,3.3570,3.3019,3.3440,0.2479
13.06.2012 10:00:00.000 GMT+1000,3.3419,3.3689,3.3068,3.3218,0.2319
14.06.2012 10:00:00.000 GMT+1000,3.3230,3.3720,3.3218,3.3589,0.2355
15.06.2012 10:00:00.000 GMT+1000,3.3599,3.4189,3.3568,3.4117,0.2039
16.06.2012 10:00:00.000 GMT+1000,3.4117,3.4117,3.4117,3.4117,0
17.06.2012 10:00:00.000 GMT+1000,3.4408,3.4418,3.4107,3.4239,0.0147
18.06.2012 10:00:00.000 GMT+1000,3.4219,3.4350,3.3668,3.3898,0.2385
19.06.2012 10:00:00.000 GMT+1000,3.3910,3.4389,3.3719,3.4239,0.2197
20.06.2012 10:00:00.000 GMT+1000,3.4249,3.4319,3.3560,3.3739,0.2465
21.06.2012 10:00:00.000 GMT+1000,3.3769,3.3779,3.2948,3.3119,0.226
22.06.2012 10:00:00.000 GMT+1000,3.3077,3.3237,3.2626,3.3180,0.1593
23.06.2012 10:00:00.000 GMT+1000,3.3180,3.3180,3.3180,3.3180,0
24.06.2012 10:00:00.000 GMT+1000,3.3158,3.3259,3.3092,3.3135,0.0027
25.06.2012 10:00:00.000 GMT+1000,3.3125,3.3459,3.2869,3.3346,0.196
26.06.2012 10:00:00.000 GMT+1000,3.3360,3.3418,3.3017,3.3180,0.2053
27.06.2012 10:00:00.000 GMT+1000,3.3157,3.3590,3.3019,3.3509,0.1715
28.06.2012 10:00:00.000 GMT+1000,3.3519,3.3668,3.3149,3.3389,0.2012
29.06.2012 10:00:00.000 GMT+1000,3.3380,3.5140,3.3288,3.4958,0.2754
30.06.2012 10:00:00.000 GMT+1000,3.4958,3.4958,3.4958,3.4958,0
01.07.2012 10:00:00.000 GMT+1000,3.4944,3.4999,3.4877,3.4959,0.0088
02.07.2012 10:00:00.000 GMT+1000,3.4949,3.4958,3.4519,3.4647,0.1769
03.07.2012 10:00:00.000 GMT+1000,3.4659,3.5550,3.4628,3.5330,0.2021
04.07.2012 10:00:00.000 GMT+1000,3.5318,3.5388,3.4969,3.4990,0.1274
05.07.2012 10:00:00.000 GMT+1000,3.4999,3.5390,3.4688,3.4929,0.237
06.07.2012 10:00:00.000 GMT+1000,3.4938,3.5038,3.4040,3.4150,0.1703
07.07.2012 10:00:00.000 GMT+1000,3.4150,3.4150,3.4150,3.4150,0
08.07.2012 10:00:00.000 GMT+1000,3.4129,3.4218,3.4098,3.4098,0.0048
09.07.2012 10:00:00.000 GMT+1000,3.4110,3.4390,3.3968,3.4368,0.1615
10.07.2012 10:00:00.000 GMT+1000,3.4349,3.4380,3.3809,3.3939,0.1729
11.07.2012 10:00:00.000 GMT+1000,3.3928,3.4500,3.3879,3.4348,0.1927
12.07.2012 10:00:00.000 GMT+1000,3.4360,3.4360,3.3829,3.4209,0.1883
13.07.2012 10:00:00.000 GMT+1000,3.4220,3.5059,3.4109,3.4938,0.1836
14.07.2012 10:00:00.000 GMT+1000,3.4938,3.4938,3.4938,3.4938,0
15.07.2012 10:00:00.000 GMT+1000,3.5030,3.5069,3.4957,3.4969,0.0036
16.07.2012 10:00:00.000 GMT+1000,3.4958,3.4969,3.4649,3.4670,0.0723
17.07.2012 10:00:00.000 GMT+1000,3.4959,3.5110,3.4309,3.4708,0.1977
18.07.2012 10:00:00.000 GMT+1000,3.4700,3.4820,3.4338,3.4698,0.184
19.07.2012 10:00:00.000 GMT+1000,3.4718,3.5440,3.4698,3.5259,0.2376
20.07.2012 10:00:00.000 GMT+1000,3.5248,3.5260,3.4178,3.4390,0.2544
21.07.2012 10:00:00.000 GMT+1000,3.4390,3.4390,3.4390,3.4390,0
22.07.2012 10:00:00.000 GMT+1000,3.4379,3.4388,3.4209,3.4309,0.0071
23.07.2012 10:00:00.000 GMT+1000,3.4319,3.4439,3.3408,3.3750,0.2629
24.07.2012 10:00:00.000 GMT+1000,3.3740,3.4010,3.3378,3.3599,0.287
25.07.2012 10:00:00.000 GMT+1000,3.3589,3.4019,3.3318,3.3760,0.2926
26.07.2012 10:00:00.000 GMT+1000,3.3768,3.4370,3.3528,3.3910,0.3245
27.07.2012 10:00:00.000 GMT+1000,3.3919,3.4380,3.3778,3.4308,0.3144
28.07.2012 10:00:00.000 GMT+1000,3.4308,3.4308,3.4308,3.4308,0
29.07.2012 10:00:00.000 GMT+1000,3.4279,3.4320,3.4234,3.4277,0.0058
30.07.2012 10:00:00.000 GMT+1000,3.4258,3.4538,3.4019,3.4239,0.2215
31.07.2012 10:00:00.000 GMT+1000,3.4229,3.4559,3.4108,3.4140,0.2269
01.08.2012 10:00:00.000 GMT+1000,3.4149,3.4250,3.3448,3.3659,0.2529
02.08.2012 10:00:00.000 GMT+1000,3.3648,3.3830,3.2878,3.3058,0.3388
03.08.2012 10:00:00.000 GMT+1000,3.3049,3.3730,3.2979,3.3648,0.2388
04.08.2012 10:00:00.000 GMT+1000,3.3648,3.3648,3.3648,3.3648,0
05.08.2012 10:00:00.000 GMT+1000,3.3658,3.3660,3.3568,3.3639,0.0076
06.08.2012 10:00:00.000 GMT+1000,3.3629,3.3910,3.3429,3.3749,0.1716
07.08.2012 10:00:00.000 GMT+1000,3.3760,3.4480,3.3688,3.4209,0.172
08.08.2012 10:00:00.000 GMT+1000,3.4219,3.4319,3.4020,3.4180,0.1787
09.08.2012 10:00:00.000 GMT+1000,3.4189,3.4420,3.4028,3.4169,0.1601
10.08.2012 10:00:00.000 GMT+1000,3.4158,3.4228,3.3598,3.4009,0.1538
11.08.2012 10:00:00.000 GMT+1000,3.4009,3.4009,3.4009,3.4009,0
12.08.2012 10:00:00.000 GMT+1000,3.3956,3.4000,3.3956,3.3959,0.0035
13.08.2012 10:00:00.000 GMT+1000,3.3949,3.3979,3.3408,3.3538,0.1327
14.08.2012 10:00:00.000 GMT+1000,3.3530,3.3789,3.3358,3.3519,0.1465
15.08.2012 10:00:00.000 GMT+1000,3.3528,3.3710,3.3329,3.3530,0.1448
16.08.2012 10:00:00.000 GMT+1000,3.3520,3.3860,3.3408,3.3820,0.1382
17.08.2012 10:00:00.000 GMT+1000,3.3809,3.4240,3.3739,3.4140,0.1205
18.08.2012 10:00:00.000 GMT+1000,3.4140,3.4140,3.4140,3.4140,0
19.08.2012 10:00:00.000 GMT+1000,3.4148,3.4210,3.4148,3.4170,0.004
20.08.2012 10:00:00.000 GMT+1000,3.4180,3.4180,3.3528,3.3790,0.1316
21.08.2012 10:00:00.000 GMT+1000,3.3779,3.4650,3.3688,3.4390,0.2048
22.08.2012 10:00:00.000 GMT+1000,3.4378,3.4839,3.4279,3.4700,0.1833
23.08.2012 10:00:00.000 GMT+1000,3.4688,3.5110,3.4618,3.4730,0.2133
24.08.2012 10:00:00.000 GMT+1000,3.4740,3.4930,3.4548,3.4789,0.1708
25.08.2012 10:00:00.000 GMT+1000,3.4789,3.4789,3.4789,3.4789,0
26.08.2012 10:00:00.000 GMT+1000,3.4809,3.4988,3.4804,3.4949,0.0053
27.08.2012 10:00:00.000 GMT+1000,3.4940,3.5099,3.4669,3.4749,0.1288
28.08.2012 10:00:00.000 GMT+1000,3.4739,3.4760,3.4478,3.4720,0.1334
29.08.2012 10:00:00.000 GMT+1000,3.4709,3.4710,3.4268,3.4379,0.1251
30.08.2012 10:00:00.000 GMT+1000,3.4389,3.4938,3.4319,3.4419,0.1239
31.08.2012 10:00:00.000 GMT+1000,3.4429,3.4670,3.4068,3.4589,0.1613
01.09.2012 10:00:00.000 GMT+1000,3.4589,3.4589,3.4589,3.4589,0
02.09.2012 10:00:00.000 GMT+1000,3.4490,3.4570,3.4418,3.4539,0.0085
03.09.2012 10:00:00.000 GMT+1000,3.4519,3.4989,3.4318,3.4850,0.1139
04.09.2012 10:00:00.000 GMT+1000,3.4838,3.4949,3.4608,3.4678,0.1457
05.09.2012 10:00:00.000 GMT+1000,3.4698,3.5320,3.4459,3.5210,0.1746
06.09.2012 10:00:00.000 GMT+1000,3.5198,3.5380,3.4927,3.5108,0.2002
07.09.2012 10:00:00.000 GMT+1000,3.5100,3.6519,3.5038,3.6430,0.2128
08.09.2012 10:00:00.000 GMT+1000,3.6430,3.6430,3.6430,3.6430,0
09.09.2012 10:00:00.000 GMT+1000,3.6419,3.6469,3.6398,3.6449,0.0074
10.09.2012 10:00:00.000 GMT+1000,3.6440,3.6988,3.6319,3.6720,0.1823
11.09.2012 10:00:00.000 GMT+1000,3.6730,3.7109,3.6478,3.6830,0.179
12.09.2012 10:00:00.000 GMT+1000,3.6820,3.7298,3.6628,3.6849,0.208
13.09.2012 10:00:00.000 GMT+1000,3.6839,3.7480,3.6579,3.7339,0.2208
14.09.2012 10:00:00.000 GMT+1000,3.7329,3.8370,3.7329,3.8166,0.2533
15.09.2012 10:00:00.000 GMT+1000,3.8166,3.8166,3.8166,3.8166,0
16.09.2012 10:00:00.000 GMT+1000,3.8269,3.8289,3.8129,3.8199,0.0063
17.09.2012 10:00:00.000 GMT+1000,3.8189,3.8248,3.7269,3.7618,0.1766
18.09.2012 10:00:00.000 GMT+1000,3.7630,3.7969,3.7439,3.7919,0.1856
19.09.2012 10:00:00.000 GMT+1000,3.7909,3.8378,3.7818,3.7980,0.1943
20.09.2012 10:00:00.000 GMT+1000,3.7969,3.8070,3.7328,3.7779,0.1867
21.09.2012 10:00:00.000 GMT+1000,3.7769,3.8080,3.7699,3.7729,0.2338
22.09.2012 10:00:00.000 GMT+1000,3.7729,3.7729,3.7729,3.7729,0
23.09.2012 10:00:00.000 GMT+1000,3.7689,3.7720,3.7639,3.7680,0.0034
24.09.2012 10:00:00.000 GMT+1000,3.7670,3.7679,3.7149,3.7419,0.2001
25.09.2012 10:00:00.000 GMT+1000,3.7409,3.7829,3.7308,3.7360,0.1984
26.09.2012 10:00:00.000 GMT+1000,3.7369,3.7550,3.6798,3.7198,0.1944
27.09.2012 10:00:00.000 GMT+1000,3.7188,3.7470,3.6988,3.7429,0.2219
28.09.2012 10:00:00.000 GMT+1000,3.7419,3.7759,3.7380,3.7519,0.2193
29.09.2012 10:00:00.000 GMT+1000,3.7519,3.7519,3.7519,3.7519,0
